Organism,BioProject,BioSample,sex,Submitter_Id,Locality,refGenome,refSpecies
Clupea_pallasii,PRJNA642736,SAMN15398036,unknown,Pacific30_Vancouver_Pacific_rg1,Canada:Vancouver,GCF_900700415.1,Clupea_harengus
Clupea_pallasii,PRJNA642736,SAMN15398035,unknown,Pacific16_Vancouver_Pacific_rg3,Canada:Vancouver,GCF_900700415.1,Clupea_harengus
Clupea_pallasii,PRJNA642736,SAMN15398035,unknown,Pacific16_Vancouver_Pacific_rg2,Canada:Vancouver,GCF_900700415.1,Clupea_harengus
Clupea_pallasii,PRJNA642736,SAMN15398035,unknown,Pacific16_Vancouver_Pacific_rg1,Canada:Vancouver,GCF_900700415.1,Clupea_harengus
Clupea_pallasii,PRJNA642736,SAMN15398034,unknown,Pacific5_Vancouver_Pacific_rg3,Canada:Vancouver,GCF_900700415.1,Clupea_harengus
Clupea_pallasii,PRJNA642736,SAMN15398034,unknown,Pacific5_Vancouver_Pacific_rg1,Canada:Vancouver,GCF_900700415.1,Clupea_harengus
Clupea_pallasii,PRJNA642736,SAMN15398033,unknown,Pacific3_Vancouver_Pacific_rg3,Canada:Vancouver,GCF_900700415.1,Clupea_harengus
Clupea_pallasii,PRJNA642736,SAMN15398038,unknown,Pacific44_Vancouver_Pacific_rg3,Canada:Vancouver,GCF_900700415.1,Clupea_harengus
Clupea_pallasii,PRJNA642736,SAMN15398038,unknown,Pacific44_Vancouver_Pacific_rg2,Canada:Vancouver,GCF_900700415.1,Clupea_harengus
Clupea_pallasii,PRJNA642736,SAMN15398038,unknown,Pacific44_Vancouver_Pacific_rg1,Canada:Vancouver,GCF_900700415.1,Clupea_harengus
Clupea_pallasii,PRJNA642736,SAMN15398037,unknown,Pacific35_Vancouver_Pacific_rg3,Canada:Vancouver,GCF_900700415.1,Clupea_harengus
Clupea_pallasii,PRJNA642736,SAMN15398037,unknown,Pacific35_Vancouver_Pacific_rg2,Canada:Vancouver,GCF_900700415.1,Clupea_harengus
Clupea_pallasii,PRJNA642736,SAMN15398037,unknown,Pacific35_Vancouver_Pacific_rg1,Canada:Vancouver,GCF_900700415.1,Clupea_harengus
Clupea_pallasii,PRJNA642736,SAMN15398036,unknown,Pacific30_Vancouver_Pacific_rg3,Canada:Vancouver,GCF_900700415.1,Clupea_harengus
Clupea_pallasii,PRJNA642736,SAMN15398036,unknown,Pacific30_Vancouver_Pacific_rg2,Canada:Vancouver,GCF_900700415.1,Clupea_harengus
Clupea_pallasii,PRJNA642736,SAMN15398033,unknown,Pacific3_Vancouver_Pacific_rg2,Canada:Vancouver,GCF_900700415.1,Clupea_harengus
Clupea_pallasii,PRJNA642736,SAMN15398033,unknown,Pacific3_Vancouver_Pacific_rg1,Canada:Vancouver,GCF_900700415.1,Clupea_harengus
Clupea_pallasii,PRJNA642736,SAMN15398034,unknown,Pacific5_Vancouver_Pacific_rg2,Canada:Vancouver,GCF_900700415.1,Clupea_harengus
Clupea_pallasii,PRJNA338612,SAMN05589107,missing,PH6,Strait of Georgia (Vancouver),GCF_900700415.1,Clupea_harengus
Clupea_pallasii,PRJNA338612,SAMN05589105,missing,PH4,Strait of Georgia (Vancouver),GCF_900700415.1,Clupea_harengus
Clupea_pallasii,PRJNA338612,SAMN05589104,missing,PH3,Strait of Georgia (Vancouver),GCF_900700415.1,Clupea_harengus
Clupea_pallasii,PRJNA338612,SAMN05589103,missing,PH2,Strait of Georgia (Vancouver),GCF_900700415.1,Clupea_harengus
Clupea_pallasii,PRJNA338612,SAMN05589102,missing,PH1,Strait of Georgia (Vancouver),GCF_900700415.1,Clupea_harengus
Clupea_pallasii,PRJNA338612,SAMN05589106,missing,PH5,Strait of Georgia (Vancouver),GCF_900700415.1,Clupea_harengus
