BioSample,SampleName1,SampleName2,BioProject,Organism,sex,Submitter_Id,refGenome,refSpecies
SAMEA1904323,A. calliptera,Indian ocean catchments,PRJEB1254,Astatotilapia_calliptera,missing,Astatotilapia_calliptera__Rovuma_-sc-2013-01-28T12:01:16Z-1530723,GCF_900246225.1,Astatotilapia_calliptera
SAMEA1904326,A. calliptera,Malawi catchment,PRJEB1254,Astatotilapia_calliptera,missing,Astatotilapia_calliptera__Mbaka_-sc-2013-01-28T12:01:19Z-1530726,GCF_900246225.1,Astatotilapia_calliptera
SAMEA1904327,A. calliptera,Malawi catchment,PRJEB1254,Astatotilapia_calliptera,missing,Astatotilapia_calliptera__Chizumulu_-sc-2013-01-28T12:01:17Z-1530724,GCF_900246225.1,Astatotilapia_calliptera
SAMEA1904328,A. calliptera,Indian ocean catchments,PRJEB1254,Astatotilapia_calliptera,missing,Astatotilapia_calliptera__Chilwa_-sc-2013-01-28T12:01:18Z-1530725,GCF_900246225.1,Astatotilapia_calliptera
SAMEA1920090,A. calliptera,Lake Malawi trios,PRJEB1254,Astatotilapia_calliptera,missing,Astatotilapia_calliptera__Salima___mother_-sc-2013-01-28T12:01:10Z-1530718,GCF_900246225.1,Astatotilapia_calliptera
SAMEA1920092,A. calliptera,Lake Malawi trios,PRJEB1254,Astatotilapia_calliptera,missing,Astatotilapia_calliptera__Salima___father_-sc-2013-01-28T12:01:07Z-1530717,GCF_900246225.1,Astatotilapia_calliptera
SAMEA2661381,A. calliptera,Malawi catchment,PRJEB1254,Astatotilapia_calliptera,missing,Astatotilapia_calliptera_Chitimba-sc-2016910,GCF_900246225.1,Astatotilapia_calliptera
SAMEA2661382,A. calliptera,Malawi catchment,PRJEB1254,Astatotilapia_calliptera,missing,Astatotilapia_calliptera_North_Rukuru-sc-2016911,GCF_900246225.1,Astatotilapia_calliptera
SAMEA2661383,A. calliptera,Malawi catchment,PRJEB1254,Astatotilapia_calliptera,missing,Astatotilapia_calliptera_Songwe_River-sc-2016912,GCF_900246225.1,Astatotilapia_calliptera
SAMEA2661384,A. calliptera,Malawi catchment,PRJEB1254,Astatotilapia_calliptera,missing,Astatotilapia_calliptera_South_Rukuru-sc-2016913,GCF_900246225.1,Astatotilapia_calliptera
SAMEA2661385,A. calliptera,Malawi catchment,PRJEB1254,Astatotilapia_calliptera,missing,Astatotilapia_calliptera_Enukweni-sc-2016914,GCF_900246225.1,Astatotilapia_calliptera
SAMEA2661386,A. calliptera,Indian ocean catchments,PRJEB1254,Astatotilapia_calliptera,missing,Astatotilapia_calliptera_Lake_Chidya-sc-2016915,GCF_900246225.1,Astatotilapia_calliptera
