Organism	BioProject	BioSample	Run
Passer_montanus	PRJEB27649	SAMEA4785141	ERR2697525
Passer_montanus	PRJEB27649	SAMEA4785142	ERR2697526
Passer_montanus	PRJEB27649	SAMEA4785143	ERR2697527
Passer_montanus	PRJEB27649	SAMEA4785144	ERR2697528
Passer_montanus	PRJEB27649	SAMEA4785146	ERR2697530
Passer_montanus	PRJEB27649	SAMEA4785149	ERR2697533
Passer_montanus	PRJEB27649	SAMEA4785145	ERR2697529
Passer_montanus	PRJEB27649	SAMEA4785147	ERR2697531
Passer_montanus	PRJEB27649	SAMEA4785148	ERR2697532
Passer_montanus	PRJNA255814	SAMN06619722	SRR5369936
Passer_montanus	PRJNA634228	SAMN14987184	SRR11822945
Passer_montanus	PRJNA634228	SAMN14987184	SRR11822946
Passer_montanus	PRJNA634228	SAMN14987184	SRR11822947
Passer_montanus	PRJNA634228	SAMN14987184	SRR11822948
Passer_montanus	PRJNA634228	SAMN14987184	SRR11822949
Passer_montanus	PRJNA634228	SAMN14987184	SRR11822951
Passer_montanus	PRJNA634228	SAMN14987184	SRR11822952
Passer_montanus	PRJNA634228	SAMN14987184	SRR11822953
Passer_montanus	PRJNA634228	SAMN14987184	SRR11822954
Passer_montanus	PRJNA634228	SAMN16789468	SRR13065790
Passer_montanus	PRJNA634228	SAMN16789467	SRR13065791
Passer_montanus	PRJNA634228	SAMN16789466	SRR13065792
Passer_montanus	PRJNA634228	SAMN16789465	SRR13065793
Passer_montanus	PRJNA634228	SAMN16789463	SRR13065795
Passer_montanus	PRJNA634228	SAMN16789462	SRR13065796
Passer_montanus	PRJNA634228	SAMN16789482	SRR13065797
Passer_montanus	PRJNA634228	SAMN16789481	SRR13065798
Passer_montanus	PRJNA634228	SAMN16789480	SRR13065799
Passer_montanus	PRJNA634228	SAMN16789479	SRR13065800
Passer_montanus	PRJNA634228	SAMN16789461	SRR13065801
Passer_montanus	PRJNA634228	SAMN16789478	SRR13065802
Passer_montanus	PRJNA634228	SAMN16789477	SRR13065803
Passer_montanus	PRJNA634228	SAMN16789476	SRR13065804
Passer_montanus	PRJNA634228	SAMN16789475	SRR13065805
Passer_montanus	PRJNA634228	SAMN16789474	SRR13065806
Passer_montanus	PRJNA634228	SAMN16789473	SRR13065807
Passer_montanus	PRJNA634228	SAMN16789472	SRR13065808
Passer_montanus	PRJNA634228	SAMN16789470	SRR13065810
Passer_montanus	PRJNA634228	SAMN16789469	SRR13065811
Passer_montanus	PRJNA634228	SAMN16789460	SRR13065812
Passer_montanus	PRJNA634228	SAMN16789459	SRR13065813
Passer_montanus	PRJNA634228	SAMN16789471	SRR13065809
Passer_montanus	PRJNA634228	SAMN14987184	SRR11822950
Passer_montanus	PRJNA634228	SAMN16789464	SRR13065794
