Organism	BioProject	BioSample	Run
Parus_major	PRJNA274877	SAMN03333188	SRR1793405
Parus_major	PRJNA274877	SAMN03333190	SRR1793407
Parus_major	PRJNA274877	SAMN03333191	SRR1793415
Parus_major	PRJNA274877	SAMN03333193	SRR1793419
Parus_major	PRJNA274877	SAMN03333194	SRR1793420
Parus_major	PRJNA274877	SAMN03333195	SRR1793421
Parus_major	PRJNA274877	SAMN03333196	SRR1793422
Parus_major	PRJNA274877	SAMN03333197	SRR1793423
Parus_major	PRJNA274877	SAMN03333198	SRR1793424
Parus_major	PRJNA274877	SAMN03333199	SRR1793425
Parus_major	PRJNA274877	SAMN03333200	SRR1793427
Parus_major	PRJNA274877	SAMN03333201	SRR1793428
Parus_major	PRJNA274877	SAMN03333202	SRR1793429
Parus_major	PRJNA274877	SAMN03333203	SRR1793430
Parus_major	PRJNA274877	SAMN03333204	SRR1793431
Parus_major	PRJNA274877	SAMN03333205	SRR1793432
Parus_major	PRJNA274877	SAMN03333206	SRR1793433
Parus_major	PRJNA274877	SAMN03333207	SRR1793434
Parus_major	PRJNA274877	SAMN03333208	SRR1793435
Parus_major	PRJNA274877	SAMN03333209	SRR1793436
Parus_major	PRJNA274877	SAMN03333210	SRR1793437
Parus_major	PRJNA274877	SAMN03333211	SRR1793438
Parus_major	PRJNA274877	SAMN03333212	SRR1793439
Parus_major	PRJNA274877	SAMN03333214	SRR1793441
Parus_major	PRJNA274877	SAMN03333215	SRR1793442
Parus_major	PRJNA274877	SAMN03333216	SRR1793443
Parus_major	PRJNA274877	SAMN03333217	SRR1793444
Parus_major	PRJNA274877	SAMN03333218	SRR1793445
Parus_major	PRJNA274877	SAMN03333219	SRR1793447
Parus_major	PRJNA274877	SAMN03333189	SRR1793406
Parus_major	PRJNA274877	SAMN03333192	SRR1793417
Parus_major	PRJNA274877	SAMN03333213	SRR1793440
Parus_major	PRJNA304164	SAMN04296347	SRR2961328
Parus_major	PRJNA304164	SAMN04296348	SRR2961671
Parus_major	PRJNA304164	SAMN04296348	SRR2961672
Parus_major	PRJNA304164	SAMN04296347	SRR2961673
Parus_major	PRJNA304164	SAMN04296349	SRR2961674
Parus_major	PRJNA304164	SAMN04296349	SRR2961675
Parus_major	PRJNA304164	SAMN04296350	SRR2961676
Parus_major	PRJNA304164	SAMN04296350	SRR2961677
Parus_major	PRJNA304164	SAMN04296351	SRR2961678
Parus_major	PRJNA304164	SAMN04296352	SRR2961680
Parus_major	PRJNA304164	SAMN04296352	SRR2961681
Parus_major	PRJNA304164	SAMN04296353	SRR2961684
Parus_major	PRJNA304164	SAMN04296353	SRR2961687
Parus_major	PRJNA304164	SAMN04296354	SRR2961689
Parus_major	PRJNA304164	SAMN04296354	SRR2961690
Parus_major	PRJNA304164	SAMN04296355	SRR2961695
Parus_major	PRJNA304164	SAMN04296355	SRR2961696
Parus_major	PRJNA304164	SAMN04296356	SRR2961697
Parus_major	PRJNA304164	SAMN04296356	SRR2961698
Parus_major	PRJNA304164	SAMN04296357	SRR2961699
Parus_major	PRJNA304164	SAMN04296357	SRR2961700
Parus_major	PRJNA304164	SAMN04296358	SRR2961701
Parus_major	PRJNA304164	SAMN04296358	SRR2961704
Parus_major	PRJNA304164	SAMN04296359	SRR2961712
Parus_major	PRJNA304164	SAMN04296359	SRR2961713
Parus_major	PRJNA304164	SAMN04296360	SRR2961716
Parus_major	PRJNA304164	SAMN04296360	SRR2961717
Parus_major	PRJNA304164	SAMN04296361	SRR2961718
Parus_major	PRJNA304164	SAMN04296362	SRR2961722
Parus_major	PRJNA304164	SAMN04296363	SRR2961725
Parus_major	PRJNA304164	SAMN04296363	SRR2961727
Parus_major	PRJNA304164	SAMN04296364	SRR2961728
Parus_major	PRJNA304164	SAMN04296364	SRR2961729
Parus_major	PRJNA304164	SAMN04296365	SRR2961731
Parus_major	PRJNA304164	SAMN04296365	SRR2961733
Parus_major	PRJNA304164	SAMN04296376	SRR2961736
Parus_major	PRJNA304164	SAMN04296376	SRR2961737
Parus_major	PRJNA304164	SAMN04296366	SRR2961746
Parus_major	PRJNA304164	SAMN04296366	SRR2961748
Parus_major	PRJNA304164	SAMN04296367	SRR2961750
Parus_major	PRJNA304164	SAMN04296367	SRR2961752
Parus_major	PRJNA304164	SAMN04296368	SRR2961753
Parus_major	PRJNA304164	SAMN04296368	SRR2961754
Parus_major	PRJNA304164	SAMN04296369	SRR2961756
Parus_major	PRJNA304164	SAMN04296369	SRR2961758
Parus_major	PRJNA304164	SAMN04296370	SRR2961759
Parus_major	PRJNA304164	SAMN04296370	SRR2961760
Parus_major	PRJNA304164	SAMN04296371	SRR2961762
Parus_major	PRJNA304164	SAMN04296371	SRR2961763
Parus_major	PRJNA304164	SAMN04296372	SRR2961765
Parus_major	PRJNA304164	SAMN04296372	SRR2961767
Parus_major	PRJNA304164	SAMN04296373	SRR2961769
Parus_major	PRJNA304164	SAMN04296373	SRR2961771
Parus_major	PRJNA304164	SAMN04296374	SRR2961773
Parus_major	PRJNA304164	SAMN04296375	SRR2961775
Parus_major	PRJNA304164	SAMN04296375	SRR2961776
Parus_major	PRJNA304164	SAMN04296362	SRR2961723
Parus_major	PRJNA304164	SAMN04296374	SRR2961774
Parus_major	PRJNA304164	SAMN04296351	SRR2961679
Parus_major	PRJNA304164	SAMN04296361	SRR2961719
