Organism	BioProject	BioSample	Run
Dicentrarchus_labrax	PRJNA472842	SAMN09245601	SRR7888193
Dicentrarchus_labrax	PRJNA472842	SAMN09245600	SRR7888194
Dicentrarchus_labrax	PRJNA472842	SAMN09245593	SRR7888195
Dicentrarchus_labrax	PRJNA472842	SAMN09245592	SRR7888196
Dicentrarchus_labrax	PRJNA472842	SAMN09245595	SRR7888197
Dicentrarchus_labrax	PRJNA472842	SAMN09245594	SRR7888198
Dicentrarchus_labrax	PRJNA472842	SAMN09245597	SRR7888199
Dicentrarchus_labrax	PRJNA472842	SAMN09245596	SRR7888200
Dicentrarchus_labrax	PRJNA472842	SAMN09245599	SRR7888201
Dicentrarchus_labrax	PRJNA472842	SAMN09245598	SRR7888202
Dicentrarchus_labrax	PRJNA472842	SAMN09245591	SRR7888203
Dicentrarchus_labrax	PRJNA472842	SAMN09245590	SRR7888204
Dicentrarchus_labrax	PRJNA472842	SAMN09245585	SRR7888205
Dicentrarchus_labrax	PRJNA472842	SAMN09245584	SRR7888206
Dicentrarchus_labrax	PRJNA472842	SAMN09245583	SRR7888207
Dicentrarchus_labrax	PRJNA472842	SAMN09245582	SRR7888208
Dicentrarchus_labrax	PRJNA472842	SAMN09245589	SRR7888209
Dicentrarchus_labrax	PRJNA472842	SAMN09245588	SRR7888210
Dicentrarchus_labrax	PRJNA472842	SAMN09245587	SRR7888211
Dicentrarchus_labrax	PRJNA472842	SAMN09245586	SRR7888212
Dicentrarchus_labrax	PRJNA472842	SAMN09245602	SRR7888213
Dicentrarchus_labrax	PRJNA472842	SAMN09245603	SRR7888214
Dicentrarchus_labrax	PRJNA472842	SAMN09245604	SRR7888215
Dicentrarchus_labrax	PRJNA472842	SAMN09245605	SRR7888216
