sample,breed,BioProject,BioSample,Organism,sex,Continent,Country,Locality,refGenome,refSpecies
10,Mallard,PRJNA450892,SAMN08952547,Anas_platyrhynchos,female,Asia,China,"Aoji Duck Farm, Zhejiang Province",GCF_015476345.1,Anas_platyrhynchos
102,Mallard,PRJNA450892,SAMN08952580,Anas_platyrhynchos,female,Asia,China,"Aoji Duck Farm, Zhejiang Province",GCF_015476345.1,Anas_platyrhynchos
16,Mallard,PRJNA450892,SAMN08952548,Anas_platyrhynchos,female,Asia,China,"Aoji Duck Farm, Zhejiang Province",GCF_015476345.1,Anas_platyrhynchos
17,Mallard,PRJNA450892,SAMN08952549,Anas_platyrhynchos,female,Asia,China,"Aoji Duck Farm, Zhejiang Province",GCF_015476345.1,Anas_platyrhynchos
18,Mallard,PRJNA450892,SAMN08952550,Anas_platyrhynchos,female,Asia,China,"Aoji Duck Farm, Zhejiang Province",GCF_015476345.1,Anas_platyrhynchos
21,Mallard,PRJNA450892,SAMN08952551,Anas_platyrhynchos,female,Asia,China,"Aoji Duck Farm, Zhejiang Province",GCF_015476345.1,Anas_platyrhynchos
25,Mallard,PRJNA450892,SAMN08952552,Anas_platyrhynchos,female,Asia,China,"Aoji Duck Farm, Zhejiang Province",GCF_015476345.1,Anas_platyrhynchos
26,Mallard,PRJNA450892,SAMN08952553,Anas_platyrhynchos,female,Asia,China,"Aoji Duck Farm, Zhejiang Province",GCF_015476345.1,Anas_platyrhynchos
28,Mallard,PRJNA450892,SAMN08952554,Anas_platyrhynchos,female,Asia,China,"Aoji Duck Farm, Zhejiang Province",GCF_015476345.1,Anas_platyrhynchos
29,Mallard,PRJNA450892,SAMN08952555,Anas_platyrhynchos,female,Asia,China,"Aoji Duck Farm, Zhejiang Province",GCF_015476345.1,Anas_platyrhynchos
32,Mallard,PRJNA450892,SAMN08952556,Anas_platyrhynchos,female,Asia,China,"Aoji Duck Farm, Zhejiang Province",GCF_015476345.1,Anas_platyrhynchos
33,Mallard,PRJNA450892,SAMN08952557,Anas_platyrhynchos,female,Asia,China,"Aoji Duck Farm, Zhejiang Province",GCF_015476345.1,Anas_platyrhynchos
34,Mallard,PRJNA450892,SAMN08952558,Anas_platyrhynchos,female,Asia,China,"Aoji Duck Farm, Zhejiang Province",GCF_015476345.1,Anas_platyrhynchos
45,Mallard,PRJNA450892,SAMN08952559,Anas_platyrhynchos,female,Asia,China,"Aoji Duck Farm, Zhejiang Province",GCF_015476345.1,Anas_platyrhynchos
46,Mallard,PRJNA450892,SAMN08952560,Anas_platyrhynchos,female,Asia,China,"Aoji Duck Farm, Zhejiang Province",GCF_015476345.1,Anas_platyrhynchos
49,Mallard,PRJNA450892,SAMN08952561,Anas_platyrhynchos,female,Asia,China,"Aoji Duck Farm, Zhejiang Province",GCF_015476345.1,Anas_platyrhynchos
51,Mallard,PRJNA450892,SAMN08952562,Anas_platyrhynchos,female,Asia,China,"Aoji Duck Farm, Zhejiang Province",GCF_015476345.1,Anas_platyrhynchos
52,Mallard,PRJNA450892,SAMN08952563,Anas_platyrhynchos,female,Asia,China,"Aoji Duck Farm, Zhejiang Province",GCF_015476345.1,Anas_platyrhynchos
53,Mallard,PRJNA450892,SAMN08952564,Anas_platyrhynchos,female,Asia,China,"Aoji Duck Farm, Zhejiang Province",GCF_015476345.1,Anas_platyrhynchos
58,Mallard,PRJNA450892,SAMN08952565,Anas_platyrhynchos,female,Asia,China,"Aoji Duck Farm, Zhejiang Province",GCF_015476345.1,Anas_platyrhynchos
59,Mallard,PRJNA450892,SAMN08952566,Anas_platyrhynchos,female,Asia,China,"Aoji Duck Farm, Zhejiang Province",GCF_015476345.1,Anas_platyrhynchos
6,Mallard,PRJNA450892,SAMN08952544,Anas_platyrhynchos,female,Asia,China,"Aoji Duck Farm, Zhejiang Province",GCF_015476345.1,Anas_platyrhynchos
64,Mallard,PRJNA450892,SAMN08952567,Anas_platyrhynchos,female,Asia,China,"Aoji Duck Farm, Zhejiang Province",GCF_015476345.1,Anas_platyrhynchos
65,Mallard,PRJNA450892,SAMN08952568,Anas_platyrhynchos,female,Asia,China,"Aoji Duck Farm, Zhejiang Province",GCF_015476345.1,Anas_platyrhynchos
7,Mallard,PRJNA450892,SAMN08952545,Anas_platyrhynchos,female,Asia,China,"Aoji Duck Farm, Zhejiang Province",GCF_015476345.1,Anas_platyrhynchos
70,Mallard,PRJNA450892,SAMN08952569,Anas_platyrhynchos,female,Asia,China,"Aoji Duck Farm, Zhejiang Province",GCF_015476345.1,Anas_platyrhynchos
71,Mallard,PRJNA450892,SAMN08952570,Anas_platyrhynchos,female,Asia,China,"Aoji Duck Farm, Zhejiang Province",GCF_015476345.1,Anas_platyrhynchos
76,Mallard,PRJNA450892,SAMN08952571,Anas_platyrhynchos,female,Asia,China,"Aoji Duck Farm, Zhejiang Province",GCF_015476345.1,Anas_platyrhynchos
78,Mallard,PRJNA450892,SAMN08952572,Anas_platyrhynchos,female,Asia,China,"Aoji Duck Farm, Zhejiang Province",GCF_015476345.1,Anas_platyrhynchos
80,Mallard,PRJNA450892,SAMN08952573,Anas_platyrhynchos,female,Asia,China,"Aoji Duck Farm, Zhejiang Province",GCF_015476345.1,Anas_platyrhynchos
82,Mallard,PRJNA450892,SAMN08952574,Anas_platyrhynchos,female,Asia,China,"Aoji Duck Farm, Zhejiang Province",GCF_015476345.1,Anas_platyrhynchos
83,Mallard,PRJNA450892,SAMN08952575,Anas_platyrhynchos,female,Asia,China,"Aoji Duck Farm, Zhejiang Province",GCF_015476345.1,Anas_platyrhynchos
84,Mallard,PRJNA450892,SAMN08952576,Anas_platyrhynchos,female,Asia,China,"Aoji Duck Farm, Zhejiang Province",GCF_015476345.1,Anas_platyrhynchos
9,Mallard,PRJNA450892,SAMN08952546,Anas_platyrhynchos,female,Asia,China,"Aoji Duck Farm, Zhejiang Province",GCF_015476345.1,Anas_platyrhynchos
90,Mallard,PRJNA450892,SAMN08952577,Anas_platyrhynchos,female,Asia,China,"Aoji Duck Farm, Zhejiang Province",GCF_015476345.1,Anas_platyrhynchos
95,Mallard,PRJNA450892,SAMN08952578,Anas_platyrhynchos,female,Asia,China,"Aoji Duck Farm, Zhejiang Province",GCF_015476345.1,Anas_platyrhynchos
96,Mallard,PRJNA450892,SAMN08952579,Anas_platyrhynchos,female,Asia,China,"Aoji Duck Farm, Zhejiang Province",GCF_015476345.1,Anas_platyrhynchos
B,Mallard,PRJNA450892,SAMN08952581,Anas_platyrhynchos,male,Asia,China,"Aoji Duck Farm, Zhejiang Province",GCF_015476345.1,Anas_platyrhynchos
C,Mallard,PRJNA450892,SAMN08952582,Anas_platyrhynchos,male,Asia,China,"Aoji Duck Farm, Zhejiang Province",GCF_015476345.1,Anas_platyrhynchos
D,Mallard,PRJNA450892,SAMN08952583,Anas_platyrhynchos,male,Asia,China,"Aoji Duck Farm, Zhejiang Province",GCF_015476345.1,Anas_platyrhynchos
