BioProject,BioSample,Organism,Submitter_Id,sex,Locality,Country,Longitude,Latitude,Continent,refGenome,refSpecies
PRJEB27649,SAMEA4785080,Passer_domesticus,FR041,female,Sales,France,"5°57'40"" E","45°52'27"" N",Europe,GCA_001700915.1,Passer_domesticus
PRJEB27649,SAMEA4785081,Passer_domesticus,FR044,female,Sales,France,"5°57'40"" E","45°52'27"" N",Europe,GCA_001700915.1,Passer_domesticus
PRJEB27649,SAMEA4785082,Passer_domesticus,FR046,male,Sales,France,"5°57'40"" E","45°52'27"" N",Europe,GCA_001700915.1,Passer_domesticus
PRJEB27649,SAMEA4785083,Passer_domesticus,FR048,female,Sales,France,"5°57'40"" E","45°52'27"" N",Europe,GCA_001700915.1,Passer_domesticus
PRJEB27649,SAMEA4785084,Passer_domesticus,FR049,male,Sales,France,"5°57'40"" E","45°52'27"" N",Europe,GCA_001700915.1,Passer_domesticus
PRJEB27649,SAMEA4785085,Passer_domesticus,FR050,female,Sales,France,"5°57'40"" E","45°52'27"" N",Europe,GCA_001700915.1,Passer_domesticus
PRJEB27649,SAMEA4785086,Passer_domesticus,FR051,male,Sales,France,"5°57'40"" E","45°52'27"" N",Europe,GCA_001700915.1,Passer_domesticus
PRJEB27649,SAMEA4785088,Passer_domesticus,FR063,male,Sales,France,"5°57'40"" E","45°52'27"" N",Europe,GCA_001700915.1,Passer_domesticus
PRJEB27649,SAMEA4785089,Passer_domesticus,FR064,male,Sales,France,"5°57'40"" E","45°52'27"" N",Europe,GCA_001700915.1,Passer_domesticus
PRJEB27649,SAMEA4785093,Passer_domesticus,KAZ14005,male,Chokpak,Kazahkstan,"70°34'18.9"" E","42°37'15.5"" N",Asia,GCA_001700915.1,Passer_domesticus
PRJEB27649,SAMEA4785094,Passer_domesticus,KAZ14011,male,Chokpak,Kazahkstan,"70°34'18.9"" E","42°37'15.5"" N",Asia,GCA_001700915.1,Passer_domesticus
PRJEB27649,SAMEA4785095,Passer_domesticus,KAZ14014,male,Chokpak,Kazahkstan,"70°34'18.9"" E","42°37'15.5"" N",Asia,GCA_001700915.1,Passer_domesticus
PRJEB27649,SAMEA4785096,Passer_domesticus,KAZ14016,male,Chokpak,Kazahkstan,"70°34'18.9"" E","42°37'15.5"" N",Asia,GCA_001700915.1,Passer_domesticus
PRJEB27649,SAMEA4785097,Passer_domesticus,KAZ14018,male,Chokpak,Kazahkstan,"70°34'18.9"" E","42°37'15.5"" N",Asia,GCA_001700915.1,Passer_domesticus
PRJEB27649,SAMEA4785098,Passer_domesticus,KAZ14019,male,Chokpak,Kazahkstan,"70°34'18.9"" E","42°37'15.5"" N",Asia,GCA_001700915.1,Passer_domesticus
